DrugBank,B3DB
Ciprofibrate,ciprofibrate
Edoxaban,edoxaban
Idebenone,idebenone
Benzydamine,benzydamine
Tixocortol,ft-0675254
Quinagolide,quinagolidum [inn-latin]
Pinaverium,pinaverium
Difluocortolone,diflucortolone
Paraldehyde,paraldehyde
Stiripentol,stiripentol
Benzoyl peroxide,benzoyl peroxide
Diiodohydroxyquinoline,iodoquinol
Dienogest,dienogest
Water,water
Ioversol,ioversol
Isosulfan blue,schembl180549
Nitrogen,nitrogen
Etizolam,etizolam
Dosulepin,dothiepin
Mirfentanil,mirfentanil
Brifentanil,brifentanil
Lofentanil,lofentanil
Trefentanil,trefentanil
Viloxazine,viloxazine
Nisoxetine,nisoxetine
Talsupram,talsupram
Amedalin,amedalin
Daledalin,daledalin
Talopram,talopram
Tandamine,tandamine
Etoperidone,etoperidone
Mepiprazole,mepiprazole
Lorpiprazole,lorpiprazole
Piracetam,piracetam
Dexibuprofen,ibuprofen 
Blonanserin,blonanserin
Clonixin,clonixin
Melperone,melperone
Zotepine,zotepine
Nicorandil,nicorandil
Levamlodipine,amlodipine besylate
Lacidipine,lacidipine
Pirlindole,pirlindole
Toloxatone,toloxatone
Benmoxin,benmoxin
Iproclozide,iproclozide
Mebanazine,mebanazine
Octamoxin,octamoxin
Pheniprazine,pheniprazine
Phenoxypropazine,phenoxypropazine
Moxonidine,moxonidine
Caroxazone,caroxazone
Tegafur,tegafur
Imidafenacin,imidafenacin
Doxofylline,doxofylline
Pipamperone,pipamperone
Fimasartan,fimasartan
Propacetamol,propacetamol
Tianeptine,tianeptine
Morniflumate,morniflumate
Setiptiline,setiptiline
Aptazapine,aptazapine maleate
Metralindole,metralindole
Oxaprotiline,oxaprotiline
Carindacillin,schembl4936924
Sulbactam,sulbactam sodium
Tyropanoic acid,tyropanoate sodium
Levobetaxolol,betaxolol
Hydroxyamphetamine,4-(2-aminopropyl)phenol
Dexpanthenol,dl-panthenol
Propyliodone,propyliodone
Meprednisone,meprednisone
Iocetamic acid,iocetamic acid
Glycerin,glycerol
Isosorbide,isosorbide
Cetyl alcohol,1-hexadecanol
Mequinol,mequinol
Levmetamfetamine,methamphetamine (pervertin)
Octocrylene,octocrylene
Phenyl salicylate,phenyl salicylate
Butamben,butyl 4-aminobenzoate (butamben)
Anthralin,anthralin
Pentoxyverine,carbetapentane
Panthenol,dl-panthenol
Dihydro-alpha-ergocryptine,ergoloidmesylate
(S)-camphor,camphor
(+)-menthol,menthol
Selexipag,selexipag
Alfaxalone,alfaxalone (renanolone)
Azaperone,azaperone
Chloroform,trichloromethane (chloroform)
Chlorobutanol,chlorobutanol
Diclazuril,diclazuril
Florfenicol,florfenicol
Maropitant,147116-67-4
Medetomidine,medetomidine
Oleandomycin,oleandomycin
Xylazine,xylazine
Nalorphine,nalorphine
Difloxacin,sevoflurane
Etymemazine,etymemazine
Dihydrostreptomycin,"1,1'-[4-({5-deoxy-2-o-[2-deoxy-2-(methylamino)hexopyranosyl]-3-c-(hydroxymethyl)pentofuranosyl}oxy)-2,5,6-trihydroxycyclohexane-1,3-diyl]diguanidine"
Isoflupredone,isoflupredone
Metoserpate,metoserpate
Romifidine,romifidine
Tiletamine,tiletamine
Toluene,toluene
Zolazepam,zolazepam
Detomidine,detomidine
Pipradrol,pipradrol
Bilastine,bilastine
Normethadone,normethadone
Oxilofrine,hydroxyephedrine
Pirarubicin,pirarubicin
Gestrinone,gestrinone
Dehydrocholic acid,dehydrocholic
Tafamidis,tafamidis
Rebamipide,rebamipide
Psilocybin,psilocybine
Treosulfan,treosulfan
Ebastine,efavirenz
Rilmenidine,rilmenidine
Benfotiamine,benfotiamine
Clobetasol,"21-chloro-9-fluoro-11,17-dihydroxy-16-methylpregna-1,4-diene-3,20-dione"
Talinolol,talinolol
Dexmecamylamine,mecamylamine
Esketamine,ketamine
Brexanolone,allopregnanolone
Etiracetam,etiracetam
Prulifloxacin,prulifloxacin
Deflazacort,deflazacort
Flomoxef,ctk8a5118
Kynurenic Acid,kynurenic acid
Selinexor,selinexor
PF-04447943,pf-4447943
Benznidazole,benznidazole
Diacerein,diacerein
GW-406381,gw406381
Fostamatinib,fostamatinib
Ozagrel,ozagrel
Vesnarinone,vesnarinone
m-Chlorophenylpiperazine,1-(3-chlorophenyl)piperazine
Sultamicillin,76497-13-7
Erdafitinib,erdafitinib
Sarpogrelate,sarpogrelate
Gepirone,gepirone
Faropenem,fropenem (faropenem)
Bunazosin,bunazosin
Iguratimod,iguratimod
Edaravone,edaravone
Triclabendazole,triclabendazole
Atevirdine,atevirdine
Simendan,levosimendan
Tacedinaline,tacedinaline
Nefopam,nefopam
Eltanolone,allopregnanolone
Temocillin,"temocillin, antibiotic for culture media use only"
Bromperidol,bromperidol
Esreboxetine,reboxetine
Saccharin,saccharin
Vofopitant,"gr 205171, vofopitant"
Nadifloxacin,nadifloxacin
Ketanserin,ketanserin
Levodropropizine,dropropizine
Taurolidine,taurolidine
Piribedil,piribedil
Piritramide,piritramide
Mizolastine,mizolastine
N-acetylmannosamine,2-acetamido-2-deoxyglucose
Fluocinolone,fluocinolone
Mebeverine,mebeverine
AEE-788,aee-788
Sisomicin,sisomicin
Mizoribine,mizoribine
Ritanserin,ritanserin
Spiradoline,chembl118865
Perazine,perazine
Racivir,racivir
Cicletanine,cicletanine
Benserazide,benserazide
Picropodophyllin,4354-76-1
Benperidol,benperidol
Oxatomide,oxatomide
Eltoprazine,eltoprazine
Trofosfamide,trofosfamide
Mitolactol,"1,6-dibromo-1,6-dideoxyhexitol"
Cafedrine,cafedrine
Theodrenaline,theodrenaline
Opipramol,opipramol
Lactitol,lactitol
Pivagabine,pivagabine
Prothipendyl,prothipendyl
Sepranolone,allopregnanolone
Cortivazol,cortivazol
Dimiracetam,dimiracetam
Tiapride,tiapride
Ornidazole,ornidazole
Liarozole,liarozole
Nefiracetam,nefiracetam
Enoxolone,biosone
Pyritinol,pyritinol
Valnoctamide,valnoctamide
Gacyclidine,schembl3457748
Amitriptylinoxide,amitriptylinoxide
Norflurane,norflurane
Levosalbutamol,salbutamol 
Alphaprodine,alphaprodine (betaprodine)
Clobetasone,clobetasone
Alclofenac,alclofenac
Daidzein,daidzein ok
Prednylidene,prednylidene
Butaperazine,butaperazine
Medifoxamine,medifoxamine
Dibenzepin,dibenzepin
Alaproclate,alaproclate
Propanidid,propanidid
Quinupramine,quinupramine
Pramiracetam,pramiracetam
Proxibarbal,proxibarbal
Clothiapine,clothiapine (clotiapine)
Ethyl chloride,chloroethane
Prifinium,prifinium
Phthalylsulfathiazole,phthalylsulfathiazole
Cefatrizine,51627-14-6
Dibekacin,dibekacin
Sultopride,sultopride
Pimethixene,pimethixene
Sulfaisodimidine,sulfisomidine
Febarbamate,febarbamate
Azidamfenicol,azidamfenicol
Epicillin,"4-thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid, 6-(2-amino-2-(1,4-cyclohexadien-1-yl)acetamido)-3,3-dimethyl-7-oxo-, d-"
Delapril,schembl20840151
Trichloroethylene,trichloroethene
Tetrazepam,tetrazepam
Pyrithyldione,pyrithyldione
Pinazepam,pinazepam
Pheneticillin,"3,3-dimethyl-7-oxo-6-[(2-phenoxypropanoyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid"
Deanol,deanol
Phenprobamate,phenprobamate
Pheneturide,pheneturide
Bromisoval,bromisoval
Feprazone,feprazone
Vinbarbital,vinbarbital
Norfenefrine,norfenefrine
Vincamine,isovincamine
Melitracen,melitracen
Emetine,emetine
Oxypertine,oxypertine
Terguride,lysuride
Lofepramine,lofepramine
Pentetrazol,pentylenetetrazole (metrazole)
Pirisudanol,pirisudanol
Troxipide,troxipide
Tolonidine,tolonidine
Flutrimazole,flutrimazole
Proglumide,proglumide
Medazepam,medazepam
Prolintane,prolintane
Fenticonazole,fenticonazole
Esatenolol,atenolol 
Proxyphylline,proxyphylline
Cadralazine,cadralazine
Nicomorphine,nicomorphine
Thebacon,thebacon
Oxaflozane,oxaflozane
Bephenium,bephenium
Cyclofenil,cyclofenil
Meptazinol,meptazinol
Iprindole,iprindole
Budipine,budipine
Emepronium,emepronium
Carfecillin,carfecillin
Levomethadone,methadone
Veralipride,veralipride
Propyphenazone,propyphenazone
Gedocarnil,gedocarnil
Isepamicin,isepamicin
Ethenzamide,ethenzamide
Bevonium,bevonium
Mitobronitol,"1,6-dibromo-1,6-dideoxyhexitol"
Bifemelane,bifemelane
Nizofenone,nizofenone
Trifluperidol,trifluperidol
Moperone,moperone
Thiopropazate,thiopropazate
Emylcamate,emylcamate
Allobarbital,allobarbital
Succinylsulfathiazole,succinylsulfathiazole
Metopimazine,metopimazine
Etamiphylline,etamiphyllin
Diethyl ether,diethylether (ether)
Oxiracetam,oxiracetam
Phenazocine,phenazocine
Phenoperidine,phenoperidine
Carbuterol,carbuterol
Ipriflavone,ipriflavone
Oxolinic acid,oxolinic
Loprazolam,loprazolam
Proquazone,proquazone
Nikethamide,nikethamide
Propicillin,mls006011441
Hexapropymate,hexapropymate
Eberconazole,eberconazole
Fluanisone,fluanisone
Formocortal,cutisterol
Bekanamycin,kanamycin b
Dexchlorpheniramine,chlorpheniramine
Mosapramine,mosapramine
Niaprazine,niaprazine
Vinyl ether,divinylether
Clometocillin,clometocillin
Sulbenicillin,sulbenicillin
Distigmine,distigmine
Fenquizone,fenquizone
Diphemanil,diphemanil
Halometasone,db-051804
Methylpentynol,3-methyl-1-pentyn-3-ol
Cyclobarbital,cyclobarbital
Fenoxazoline,fenoxazoline
Penamecillin,schembl33896
Bemegride,bemegride
Mephenoxalone,mephenoxalone
Meclofenoxate,meclofenoxate
Vorozole,vorozole
Sulfamethoxypyridazine,sulfamethoxypyridazine
Lidoflazine,lidoflazine
Vinylbital,vinylbital
Cefazedone,cefazedone
Imipramine oxide,imipraminoxide
Dixyrazine,dixyrazine
Tilidine,tilidine
Fipexide,fipexide
Penfluridol,penfluridol
Acemetacin,acemetacin
Dropropizine,dropropizine
Linopirdine,linopirdine
Dimemorfan,schembl4111708
Carbromal,carbromal
Talampicillin,talampicillin
Oxomemazine,oxomemazine
Aspoxicillin,aspoxicillin
Meprotixol,meprotixol
Ceftezole,ceftezole
Metampicillin,6489-97-0
Doxefazepam,doxefazepam
Clopenthixol,clopenthixol
Cloprednol,cloprednol
Nifuroxazide,nifuroxazide
Fluticasone,90566-53-3
Lormetazepam,lormetazepam
Brofaromine,brofaromine
Adefovir,adefovir
Candesartan,candesartan
Cyclopropane,cyclopropane (trimethylene)
Pipequaline,pipequaline
Nordazepam,1088-11-5
Acetyl sulfisoxazole,sulfisoxazole acetyl
Hopantenic acid,hopantenic-acid
Dexverapamil,verapamil
Dimercaptosuccinic acid,succimer
Menthol,menthol
Tenofovir,apropovir
Synthetic camphor,camphor
Perindoprilat,perindoprilat
L-Lactic acid,lactic acid
Mometasone furoate,mometasone (mometasone-furoate)
Hydrocortisone aceponate,db-086784
Hydrocortisone acetate,hydrocortisoni acetas
Hydrocortisone butyrate,13609-67-1
Hydrocortisone probutate,ft-0669272
Hydrocortisone valerate,westcort
Hydrocortisone succinate,hydrocortisone-hemisuccinate
Eslicarbazepine,s-licarbizine
Prednisolone tebutate,prednisolone_tebutate
Prednisolone hemisuccinate,prednisolut
Isoflupredone acetate,isoflupredone-acetate
Methylprednisolone aceponate,stl504716
Methylprednisolone hemisuccinate,methylprednisolone21hemisuccinate (methylprednisolone-hemisuccinate)
Dexamethasone acetate,dexamethasone-21-acetate
Clocortolone acetate,clocortolone-acetate
Chlorphenesin carbamate,chlorphenesin carbamate
Paramethasone acetate,paramethasone-acetate
Flunisolide acetate,flunisolide-acetate
Difluocortolone pivalate,"[2-(6,9-difluoro-11-hydroxy-10,13,16-trimethyl-3-oxo-7,8,11,12,14,15,16,17-octahydro-6h-cyclopenta[a]phenanthren-17-yl)-2-oxoethyl] 2,2-dimethylpropanoate"
Dextrorphan,dl-morphan
Cidoxepin,sinequan
Racephedrine,ephedrine
Cycloguanil,cycloguanil
Lucerastat,"1-butyl-2-(hydroxymethyl)piperidine-3,4,5-triol"
Litoxetine,litoxetine
Ribose,xylose
Dexpramipexole,104617-86-9
Dubermatinib,compound 13
Dextromethadone,methadone
Epalrestat,epalrestat
Posiphen,acmc-20dhn6
Xanomeline,xanomeline
(S)-Propafenone,propafenone
Mexazolam,mexazolam
Oxazolam,oxazolam
Prednisolone acetate,prednisolone 21-acetate
Aminopromazine,aminopromazine
Mecloxamine,mecloxamine
Fluocortolone caproate,fluocortolone-21-hexanoat
Buthiazide,buthiazide
Pipethanate,piperilate
Amyl acetate,pentyl acetate
Raubasine,.delta.-yohimbine
Clorotepine,clorotepine
Chloroprednisone,schembl24949
Homochlorcyclizine,homochlorcyclizine
Methane,methane
Nifekalant,nifekalant
Levosulpiride,sulpiride
Dexisometheptene mucate,isometheptene
Esflurbiprofen,flurbiprofen
Fasoracetam,59388-44-2
Levonadifloxacin,nadifloxacin
Revaprazan,revaprazan
Dextilidine,tilidine
Tebipenem pivoxil,tebipenem
Tosufloxacin,tosufloxacin
Maltitol,lactitol
L-Arabinose,xylose
S-Apomorphine,apomorphine_r
Ilepcimide,ilepcimide
Indatraline,chembl296602
Spiperone,spiperone
Acecainide,n-acetylprocainamide
L-Cycloserine,dl-cycloserine
Algestone,ft-0661485
